review_order,review_batch,priority_tier,nct_id,brief_title,screening_basis,verification_focus,registry_url,human_screening,human_screening_reason,needs_deeper_review
51,B03,2_dual_model_agreement,NCT04478760,Trans & Non-binary Reference Intervals While on Hormone Therapy Study,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04478760,,,
52,B03,2_dual_model_agreement,NCT04482920,Effect of Hormone Therapy on Renal Function,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04482920,,,
53,B03,2_dual_model_agreement,NCT04508231,Metabolic Consequences of Cross-sex Hormonal Treatment,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04508231,,,
54,B03,2_dual_model_agreement,NCT04515472,Effect of Gender Affirming Hormone Therapy on Glucose Metabolism,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04515472,,,
55,B03,2_dual_model_agreement,NCT04524325,Mechanisms of Blood Pressure Dysfunction in Transmen Receiving Testosterone,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04524325,,,
56,B03,2_dual_model_agreement,NCT04531943,Feminizing Hormone Therapy and the Rectal Mucosa Immune Environment in Transgender Women,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04531943,,,
57,B03,2_dual_model_agreement,NCT04534881,Effect of Progesterone on Testosterone Concentrations and Breast Development in Transwomen,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04534881,,,
58,B03,2_dual_model_agreement,NCT04551144,"Effect of Transgender Therapy on Muscle, Fat and Tissue Receptors",Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04551144,,,
59,B03,2_dual_model_agreement,NCT04590417,Assessment of Drug-drug Interactions Between Feminizing Hormone Therapy and Emtricitabine/Tenofovir Alafenamide Concomitantly for Pre-exposure Prophylaxis Among Transgender Women,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04590417,,,
60,B03,2_dual_model_agreement,NCT04593680,Assessment of Drug-drug Interactions Between Masculinizing Hormone Therapy and Antiretroviral Agents Concomitantly for Pre-exposure Prophylaxis Among Transgender Men,Flash likely_include + Sol agree_likely_include,Confirm both protocol gates from the registry record: explicit TGD population and explicit GAHT research role.,https://clinicaltrials.gov/study/NCT04593680,,,
