nct_id,brief_title,flash_triage,criterion_1_flash,criterion_2_flash,criterion_1_sol,criterion_2_sol,sol_audit,sol_reason,flash_sol_agreement,priority_for_human_review,human_decision_existing
NCT01292785,"Effects of Sex Steroid Hormones on Human Brain Function, Structure and Connectivity",likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT01662466,Effect of Testosterone Treatment on Embryo Quality,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT01880489,Multicomponent Intervention to Reduce Sexual Risk and Substance Use,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT02060474,Thyroid Hormone Analog Therapy in MCT8 Deficiency: Triac Trial Patients,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT02119377,First Australian National Trans Mental Health Study,human_review,yes,unclear,yes,yes,likely_include,"Hormone-therapy use, desire, and uptake are explicit survey outcomes in a TGD population.",disagree,high,
NCT02185274,Observational Study on Metabolism and Psychopathology in Transsexual Patients,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT02229617,Subcutaneous Testosterone Project,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT02381821,Endometrial Volume and Sub-endometrial Vascularity as Predictors of In-vitro Fertilization Success,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT02434562,Development and Validation of in Vitro Cell-based Bioassays for Nuclear Receptor Activation,human_review,yes,unclear,no,no,likely_exclude,The biobank record describes generic androgen/estrogen bioassays and does not explicitly include a TGD population; GAHT is not a research variable.,disagree,high,
NCT02518009,GEnder Dysphoria Treatment in Sweden,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT02550431,Trans Health: Evaluation of Markers of Cardio-metabolic Health and Well-being in Transgender Youth,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT02551367,Letrozole Versus Clomiphene Citrate for Ovulation Induction in Women With Poly Cystic Ovary Syndrome ( PCOS ),obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT02715232,Effects of Sex Steroids on the Serotonin System,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT02741154,Role of Aromatase Inhibitor to Enhance Ovulation in Poor Responder During Induction With Short Antagonist Protocol in Cases of ICSI,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT02766803,Effects of Simvastatin and Micronized Trans-resveratrol Treatment on Polycystic Ovary Syndrome (PCOS) Patients,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT02983110,Sex Hormone Therapy and Mucosal Tissues,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT02985996,Body Compartment PK for New HIV Pre-exposure Prophylaxis Modalities,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT03060785,Finding the Right Tenofovir/Emtricitabine Regimen for Pre-Exposure Prophylaxis (PrEP) in Transgender Women,human_review,yes,unclear,yes,yes,likely_include,PrEP pharmacokinetics are compared in transgender women using feminizing hormones and cisgender men not using hormones.,disagree,high,
NCT03078829,The Relation of GnRH Treatment to QTc Interval in Transgender Females,human_review,yes,unclear,yes,no,likely_exclude,The TGD study evaluates puberty suppression only and states no explicit estradiol or testosterone GAHT component.,disagree,high,
NCT03081559,Improving Engagement in HIV Care for High-risk Women,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT03120936,The Stay Study: A Demonstration Project Advancing PrEP Delivery in the San Francisco Bay Area Transgender Community,human_review,yes,unclear,yes,yes,likely_include,The registry explicitly measures effects of PrEP on hormone concentrations and effects of hormone status on PrEP pharmacology.,disagree,high,
NCT03191474,Linkage of Transgender Individuals to PrEP,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT03220152,Implementation of PrEP to HIV in Brazilian Transgender Women,human_review,yes,unclear,yes,yes,likely_include,FTC/TDF pharmacokinetics are explicitly compared between transgender participants using and not using hormones.,disagree,high,
NCT03230084,Use of a Home-based PDG Urine Test to Confirm Ovulation,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT03270969,A Pharmacokinetic Evaluation of Tenofovir/Emtricitabine as HIV Pre-Exposure Prophylaxis in Transgender Women,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT03293771,Transgender Post-reassignment Urogynecologic Measures and Perceptions,human_review,yes,unclear,yes,yes,likely_include,Postoperative symptoms are explicitly analyzed by hormone-therapy use in the TGD study population.,disagree,high,
NCT03465852,HIV Prevention Among Latina Transgender Women Who Have Sex With Men: Evaluation of a Locally Developed Intervention,human_review,yes,unclear,yes,yes,likely_include,The intervention promotes medically supervised hormone therapy and hormone-therapy uptake is an explicit outcome.,disagree,high,
NCT03516747,Preoperational Fine Needle Aspiration of Pathological Parathyroid Gland,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT03528135,Project PRIDE (Promoting Resilience In Discriminatory Environments),obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT03557268,Pubertal Blockade and Hormone Therapy in Transgender Youth,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT03593317,Blockade of the Renin-angiotensin-aldosterone System in Patients With ARVD,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT03595956,Transgender Cohort Study of Gender Affirmation and HIV-related Health,human_review,yes,unclear,yes,yes,likely_include,"Medical gender affirmation, defined to include hormones and/or surgery versus neither, is an explicit exposure linked to HIV outcomes.",disagree,high,
NCT03602222,An LGBT-Competency Program for Mental Health Professionals in Romania,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT03620734,Study to Determine Interaction Between the Use of Feminizing Hormone Therapy and Antiretroviral Agents Concomitantly Among Transgender Women,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT03637920,Sexuality in Transmen During Hormone and Operative Treatment,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT03643120,Gender Dysphoria Among Adolescents (Norwegian Title: Kjønnsdysfori Blant Ungdom),human_review,yes,no,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT03651427,Cross-sex Hormone Therapy and Neuronal Plasticity,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT03652623,"Transgender Youth and PrEP: PK, Safety, Uptake & Adherence - PK Study",likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT03725280,Micro RNA Profile in the Ovarian Follicle Fluid of Transgender Men,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT03757117,Gender-Affirmative Transgender Care to Improve the HIV Treatment Cascade,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT03789331,Anogenital Distance Differences Between Transgender Males and Female Individuals,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT03836027,Fertility Desires and Reproductive Needs of Transgender People,likely_include,yes,yes,yes,no,likely_exclude,"The fertility survey measures fertility desires and knowledge; GAHT appears only as clinical context, not an intervention, exposure, comparison, monitoring target, or analyzed variable.",disagree,high,
NCT03864913,Comparing Subcutaneous Testosterone to Intramuscular Testosterone in Gender Affirming Care of Transgender Male Adolescents,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT03872648,TransCare - Genital Surgery for Trans Women in Centralized vs. Decentralized Health Care Delivery Settings,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT03899896,Voice Feminisation in Transgender Women,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04028219,Transgender In Transition,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04036500,Transgender Estradiol,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04050371,Study of Truvada for HIV Pre Exposure Prophylaxis Using Daily Directly Observed Therapy to Look at Potential Interactions Between Truvada and Hormone Therapy,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04064671,ZEPHYR: A Study Evaluating Surgical Outcome After Implantation of the Zephyr ZSI 475 FTM Inflatable Penile Implant in the Neophallus After Female-to-male Sex Reassignment Surgery,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04066283,Effects of Aging and Gender-Affirming Hormone Therapy on Vascular Endothelial Function and Metabolic Profiles in Transgender Women,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04077138,"Transgender Youth and PrEP: PK, Safety, Uptake & Adherence - Intervention Development",likely_include,yes,yes,yes,unclear,downgrade_human_review,The registry describes qualitative PrEP-intervention development and points to a separate project's GAHT/PrEP pharmacokinetic phase; it is unclear whether GAHT is analyzed in this record.,disagree,high,
NCT04077151,"Transgender Youth and PrEP: PK, Safety, Uptake & Adherence - Demonstration Project",likely_include,yes,yes,yes,no,likely_exclude,"The PrEP demonstration project requires stable cross-sex hormones only as eligibility/background and analyzes PrEP acceptability and adherence, not GAHT.",disagree,high,
NCT04096053,Transgender Education for Affirmative and Competent HIV and Healthcare,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04107480,PRolaCT - Three Prolactinoma RCTs,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT04128488,Effects of Gender-Affirming Hormone Therapy Among Transgender Women,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04160364,Gender Dysphoria in Children and Adolescents : Parents' Perspectives,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04195659,Chest Dysphoria in Transmasculine Spectrum Adolescents,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04203381,Skeletal Health and Bone Marrow Composition Among Youth,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04217707,Transgender Therapeutic Support Groups,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04237467,Effects of Aging and Gender-Affirming Hormone Therapy on Vascular Endothelial Function and Metabolic Profiles in Transgender Men,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04254354,"Transgender Men, Non-binary Persons and Testosterone Treatment BODY IDENTITY CLINIC",likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04265885,Gender Dysphoria and Transition,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04283656,Evaluating Drug Interactions Between Doravirine With Estradiol and Spironolactone in Healthy Transgender Women,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04290286,"i2TransHealth: Interdisciplinary, Internet-based Trans Health Care",human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04309760,Developmental Correlates and Hormone Therapy Effects in Gender Dysphoria,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04321551,Hormone Secretion in Transgender Males,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04336891,Effect of Testosterone Treatment on Clitoral Arteries' Hemodynamic Parameters.,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04374708,Gender Identity and Own Body Perception,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04378439,Appalachian Partnership to Reduce Disparities (Aim 2),human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04440722,Prospective Observational Study and Biobank CKIO,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04448418,The Impact of COVID-19 Outbreak on Trans-population's Health in Italy,human_review,yes,unclear,yes,yes,likely_include,Satisfaction with telemedicine monitoring of hormone treatment is an explicit study outcome.,disagree,high,
NCT04474366,The Effect of Pectoral Blocks on Perioperative Pain in Gender Affirmation Top Surgery,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04478214,The Strategic Use of Hyaluronic Acid Fillers and Neurotoxin to Influence Gender Perception in Transgender Individuals,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04478760,Trans & Non-binary Reference Intervals While on Hormone Therapy Study,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04482374,Puberty Suppression and Cardiometabolic Health,human_review,yes,no,yes,no,likely_exclude,The registry studies GnRH puberty suppression without an explicit estradiol or testosterone GAHT component.,disagree,high,
NCT04482920,Effect of Hormone Therapy on Renal Function,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04491422,Same-Day PrEP Initiation and Sexual Health for Transgender Women,human_review,yes,unclear,yes,yes,likely_include,The registry explicitly studies how feminizing hormone therapy influences PrEP use and adherence.,disagree,high,
NCT04508231,Metabolic Consequences of Cross-sex Hormonal Treatment,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04515472,Effect of Gender Affirming Hormone Therapy on Glucose Metabolism,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04524325,Mechanisms of Blood Pressure Dysfunction in Transmen Receiving Testosterone,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04531943,Feminizing Hormone Therapy and the Rectal Mucosa Immune Environment in Transgender Women,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04534881,Effect of Progesterone on Testosterone Concentrations and Breast Development in Transwomen,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04551144,"Effect of Transgender Therapy on Muscle, Fat and Tissue Receptors",likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04554849,Demographic Characteristics and Psychosocial Health of Transgender People,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04573127,Gender Dysphoria: Epidemiological Data,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04586348,Prenatal Iodine Supplementation and Early Childhood Neurodevelopment,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT04590417,Assessment of Drug-drug Interactions Between Feminizing Hormone Therapy and Emtricitabine/Tenofovir Alafenamide Concomitantly for Pre-exposure Prophylaxis Among Transgender Women,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04593680,Assessment of Drug-drug Interactions Between Masculinizing Hormone Therapy and Antiretroviral Agents Concomitantly for Pre-exposure Prophylaxis Among Transgender Men,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04596592,Pubertal Blockade and Estradiol Effects on Cardiometabolic Health for Transitioning Youth,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04616963,Emtricitabine/Tenofovir Alafenamide Switch Study for Transgender Individuals for HIV Pre-exposure Prophylaxis,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04708600,Effectiveness of Speech Therapy in Trans Women.,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04736797,Transition in Transgender,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04742491,Pre-Exposure Prophylaxis for Transgender Women in the US and South America,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04742816,Renal Effects of Hormones/Biomarkers in Transgender PrEP Recipients,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04760691,Pre-Exposure Prophylaxis (PrEP)- Gender Affirming Hormone Therapy (GAHT) Interactions in TGW,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04818580,Progressive Tension Sutures in Gender Affirming Mastectomy,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04820088,Simulated Conversation Training for Mental Healthcare Providers to Improve Care for Transgender and Gender Nonconforming Individuals,human_review,yes,unclear,yes,no,likely_exclude,"The registry explicitly includes a TGD population, but its preserved summary, interventions, eligibility, and outcomes give GAHT no research role; any hormone reference is absent or background.",disagree,high,
NCT04838249,"Effects of Cross-sex Hormone Therapy on Eating Behavior, Metabolism, Energy Balance and Cardiovascular System",likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT04864951,HPV Prevalence in Transpersons - a Prospective Study,human_review,yes,unclear,yes,unclear,genuinely_ambiguous,"Hormone therapy is collected in the HPV survey, but the registry states HPV-prevalence aims without saying hormone exposure will be analyzed.",agree,high,
NCT04867798,Transgender Men and HIV in Uganda: PrEP Uptake and Persistence,human_review,yes,unclear,yes,yes,likely_include,Masculinizing hormone use and concerns about hormone-PrEP interactions are explicit variables in the HIV/PrEP project.,disagree,high,
